"fecha_corte","nombre_entidad","nombre_patrimonio","rendimientos_abonados","precierre_fondo_dia_t","numero_unidades_fondo_cierre_oper_dia_t_anterior","valor_unidad_operaciones_dia_t","aportes_recibidos","retiros_redenciones","anulaciones","valor_fondo_cierre_dia_t","numero_inversionistas","rentabilidad_diaria","rentabilidad_mensual","rentabilidad_semestral","rentabilidad_anual"
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO CON PACTO DE PERMANENCIA CXC",27842576.81,132369043190.21,7082849.400732,18688.671141,0,50002269.5,0,132319040920.71,11264,7.980706,13.310545,10.679145,7.649145
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO CON PACTO DE PERMANENCIA CXC",60309100.04,283141926848.49,15015665.961726,18856.434844,50002269.5,0,0,283191929117.99,2726,8.085578,13.407797,10.815761,7.782181
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO CON PACTO DE PERMANENCIA CXC",128188486.05,594397760336.2,31375432.991743,18944.68709,0,0,0,594397760336.2,1430,8.190654,13.509088,10.912915,7.864343
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO CON PACTO DE PERMANENCIA CXC",191963401.38,879254161639.1,46190120.85017,19035.545815,0,0,0,879254161639.1,307,8.295934,13.598847,11.004578,7.941939
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO CON PACTO DE PERMANENCIA CXC",49247581.48,176540955435.67,8384217.377509,21056.342827,0,0,0,176540955435.67,2,10.719968,15.645632,12.940912,9.629139
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO CON PACTO DE PERMANENCIA CXC",132012090.65,579839432477.07,30151593.508005,19230.805573,0,0,0,579839432477.07,498,8.666029,13.923019,11.265675,8.134755
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO CON PACTO DE PERMANENCIA CXC",770.34,2641941.21,238.334339,11085.02124,0,0,0,2641941.21,2,11.231408,17.509237,14.624646,0
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO ALIANZA - SIN PACTO DE PERMANENCIA MÍNIMA",428825089.01,1220714534417.65,8218396.822849,148534.387026,0.01,301615407.95,0,1220412919009.71,280668,13.682974,13.66292,8.028564,4.311508
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO ALIANZA - SIN PACTO DE PERMANENCIA MÍNIMA",331895449.94,932694351158.54,6191727.561495,150635.560414,300051345.07,400107322.49,0,932594295181.12,10024,13.872232,13.862255,8.238665,4.505348
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO ALIANZA - SIN PACTO DE PERMANENCIA MÍNIMA",264149017.56,735241341005.32,4817348.246267,152623.664186,401671385.33,0,0,735643012390.65,1754,14.014625,14.012588,8.407106,4.682261
2023-01-01,"Alianza Fiduciaria S.A.","FONDO ABIERTO ALIANZA - SIN PACTO DE PERMANENCIA MÍNIMA",395175771.3,1075970159199.19,6909613.863937,155720.73641,0.03,0,0,1075970159199.22,387,14.348384,14.354294,8.727417,4.980584
